title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
Six Windows in the Desert,SHOW,2020,TV-14,21,history,['SA'],1.0,tt11874042,4.3,3074.0
Six Windows in the Desert,SHOW,2020,TV-14,21,scifi,['SA'],1.0,tt11874042,4.3,3074.0
Isa Pa with Feelings,MOVIE,2019,Not Available,102,comedy,['PH'],0.0,tt10555482,7.9,332.0
Isa Pa with Feelings,MOVIE,2019,Not Available,102,romance,['PH'],0.0,tt10555482,7.9,332.0
Isa Pa with Feelings,MOVIE,2019,Not Available,102,drama,['PH'],0.0,tt10555482,7.9,332.0
Scams,SHOW,2019,Not Available,24,action,['JP'],1.0,tt10448486,6.4,362.0
Scams,SHOW,2019,Not Available,24,crime,['JP'],1.0,tt10448486,6.4,362.0
Scams,SHOW,2019,Not Available,24,drama,['JP'],1.0,tt10448486,6.4,362.0
Kasanova,MOVIE,2019,Not Available,115,romance,['NG'],0.0,tt10887282,6.7,43.0
Kasanova,MOVIE,2019,Not Available,115,drama,['NG'],0.0,tt10887282,6.7,43.0
