title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
Saverio Raimondo: Il Satiro Parlante,MOVIE,2019,PG-13,53,comedy,[],0.0,tt10242216,5.6,51.0
Thambi,MOVIE,2019,Not Available,150,thriller,['IN'],0.0,Not Available,6.6,2279.0
Òlòtūré,MOVIE,2019,Not Available,106,drama,['NG'],0.0,tt9725830,5.5,774.0
Òlòtūré,MOVIE,2019,Not Available,106,crime,['NG'],0.0,tt9725830,5.5,774.0
La Vocera,MOVIE,2020,Not Available,82,documentation,['MX'],0.0,tt13532214,7.2,54.0
Money Trap,MOVIE,2019,Not Available,121,crime,['TR'],0.0,tt8442644,6.0,14221.0
Money Trap,MOVIE,2019,Not Available,121,comedy,['TR'],0.0,tt8442644,6.0,14221.0
"Rob Schneider: Asian Momma, Mexican Kids",MOVIE,2020,Not Available,44,comedy,['US'],0.0,tt12724632,5.5,716.0
Kill Me If You Dare,MOVIE,2019,Not Available,104,comedy,['TR'],0.0,tt9749604,4.4,1737.0
Kill Me If You Dare,MOVIE,2019,Not Available,104,romance,['TR'],0.0,tt9749604,4.4,1737.0
Seriously Single,MOVIE,2020,Not Available,107,romance,['ZA'],0.0,tt11010144,4.4,1258.0
Seriously Single,MOVIE,2020,Not Available,107,comedy,['ZA'],0.0,tt11010144,4.4,1258.0
Legend Quest: Masters of Myth,SHOW,2019,TV-Y7,25,action,['MX'],1.0,tt10228032,7.6,126.0
Legend Quest: Masters of Myth,SHOW,2019,TV-Y7,25,animation,['MX'],1.0,tt10228032,7.6,126.0
Badanamu Stories,SHOW,2020,TV-Y,13,animation,[],1.0,tt14857600,3.4,6.0
Super Monsters: Vida's First Halloween,MOVIE,2019,Not Available,24,animation,[],0.0,tt10927576,5.9,37.0
Alex Fernández: The Best Comedian in the World,MOVIE,2020,Not Available,51,comedy,['MX'],0.0,tt11497900,6.2,139.0
Still Laugh-In: The Stars Celebrate,MOVIE,2019,Not Available,60,comedy,[],0.0,tt9880234,5.2,582.0
Still Laugh-In: The Stars Celebrate,MOVIE,2019,Not Available,60,music,[],0.0,tt9880234,5.2,582.0
Asura Guru,MOVIE,2020,Not Available,120,crime,['IN'],0.0,tt8011344,3.2,316.0
Asura Guru,MOVIE,2020,Not Available,120,thriller,['IN'],0.0,tt8011344,3.2,316.0
Asura Guru,MOVIE,2020,Not Available,120,action,['IN'],0.0,tt8011344,3.2,316.0
Hong Kong West Side Stories,SHOW,2019,TV-MA,23,drama,['HK'],2.0,tt10284430,5.7,6.0
Hong Kong West Side Stories,SHOW,2019,TV-MA,23,comedy,['HK'],2.0,tt10284430,5.7,6.0
Lift Like a Girl,MOVIE,2020,Not Available,93,documentation,"['DK', 'EG', 'DE']",0.0,tt7240536,7.8,208.0
Wanted - Matloubin,MOVIE,2019,Not Available,90,comedy,['LB'],0.0,tt9194246,7.2,616.0
Wanted - Matloubin,MOVIE,2019,Not Available,90,drama,['LB'],0.0,tt9194246,7.2,616.0
Francesco De Carlo: Cose di Questo Mondo,MOVIE,2019,Not Available,61,comedy,[],0.0,tt10087952,6.3,110.0
Gone,MOVIE,2020,Not Available,15,horror,['AU'],0.0,tt15140954,7.1,18.0
Gone,MOVIE,2020,Not Available,15,drama,['AU'],0.0,tt15140954,7.1,18.0
Charlie's Colorforms City,SHOW,2019,TV-Y,23,animation,['US'],4.0,tt8115672,7.0,148.0
Charlie's Colorforms City,SHOW,2019,TV-Y,23,family,['US'],4.0,tt8115672,7.0,148.0
The Legend of White Snake,SHOW,2019,TV-14,46,scifi,['CN'],1.0,tt10628250,7.4,224.0
The Legend of White Snake,SHOW,2019,TV-14,46,drama,['CN'],1.0,tt10628250,7.4,224.0
The Legend of White Snake,SHOW,2019,TV-14,46,fantasy,['CN'],1.0,tt10628250,7.4,224.0
A Family Reunion Christmas,MOVIE,2019,Not Available,29,comedy,['US'],0.0,tt11193888,5.8,216.0
A Family Reunion Christmas,MOVIE,2019,Not Available,29,family,['US'],0.0,tt11193888,5.8,216.0
캐치! 티니핑,SHOW,2020,TV-Y,12,,[],2.0,Not Available,6.6,2279.0
Miss India,MOVIE,2020,Not Available,136,drama,['IN'],0.0,Not Available,6.6,2279.0
Mayday Life,MOVIE,2019,Not Available,112,documentation,['TW'],0.0,tt10346206,6.7,122.0
Mayday Life,MOVIE,2019,Not Available,112,music,['TW'],0.0,tt10346206,6.7,122.0
Voiceless,MOVIE,2020,Not Available,120,thriller,[],0.0,tt13149312,6.8,31.0
Mujeres arriba,MOVIE,2020,Not Available,100,comedy,['CL'],0.0,tt10349240,3.8,468.0
Mujeres arriba,MOVIE,2020,Not Available,100,romance,['CL'],0.0,tt10349240,3.8,468.0
Ricardo Quevedo: los amargados somos más,MOVIE,2019,Not Available,58,comedy,[],0.0,tt10027954,7.3,96.0
Bangkok Love Stories: Plead,SHOW,2019,Not Available,44,drama,['TH'],1.0,tt10438656,7.3,57.0
Guna 369,MOVIE,2019,Not Available,146,romance,['IN'],0.0,tt1477110,6.7,19.0
Guna 369,MOVIE,2019,Not Available,146,drama,['IN'],0.0,tt1477110,6.7,19.0
RattleSnake: The Ahanna Story,MOVIE,2020,Not Available,135,drama,[],0.0,tt13890834,5.3,101.0
Dino Girl Gauko,SHOW,2019,Not Available,9,animation,['JP'],2.0,tt10380814,6.6,71.0
Dino Girl Gauko,SHOW,2019,Not Available,9,comedy,['JP'],2.0,tt10380814,6.6,71.0
Dino Girl Gauko,SHOW,2019,Not Available,9,family,['JP'],2.0,tt10380814,6.6,71.0
Dino Girl Gauko,SHOW,2019,Not Available,9,fantasy,['JP'],2.0,tt10380814,6.6,71.0
Dino Girl Gauko,SHOW,2019,Not Available,9,scifi,['JP'],2.0,tt10380814,6.6,71.0
Léa & I,MOVIE,2019,Not Available,84,documentation,['US'],0.0,tt9382396,6.5,215.0
Bookmarks: Celebrating Black Voices,SHOW,2020,TV-G,7,family,['US'],1.0,tt12923664,5.0,160.0
"No andaba muerto, estaba de parranda",MOVIE,2020,Not Available,90,comedy,[],0.0,tt12263440,5.2,102.0
Hikaru Utada Laughter in the Dark Tour 2018,MOVIE,2019,G,141,documentation,['JP'],0.0,tt10556746,8.3,81.0
Hikaru Utada Laughter in the Dark Tour 2018,MOVIE,2019,G,141,music,['JP'],0.0,tt10556746,8.3,81.0
The Netflix Afterparty: The Best Shows of The Worst Year,MOVIE,2020,Not Available,59,documentation,['US'],0.0,Not Available,6.6,2279.0
George Lopez: We'll Do It for Half,MOVIE,2020,Not Available,51,comedy,['US'],0.0,tt12358794,5.7,444.0
Spirit Riding Free: Spirit of Christmas,MOVIE,2019,PG,45,animation,['US'],0.0,tt11313068,5.2,122.0
Spirit Riding Free: Spirit of Christmas,MOVIE,2019,PG,45,action,['US'],0.0,tt11313068,5.2,122.0
Spirit Riding Free: Spirit of Christmas,MOVIE,2019,PG,45,comedy,['US'],0.0,tt11313068,5.2,122.0
Spirit Riding Free: Spirit of Christmas,MOVIE,2019,PG,45,drama,['US'],0.0,tt11313068,5.2,122.0
Spirit Riding Free: Spirit of Christmas,MOVIE,2019,PG,45,family,['US'],0.0,tt11313068,5.2,122.0
Maska,MOVIE,2020,Not Available,111,comedy,['IN'],0.0,tt11953628,5.8,1433.0
Maska,MOVIE,2020,Not Available,111,drama,['IN'],0.0,tt11953628,5.8,1433.0
Maska,MOVIE,2020,Not Available,111,romance,['IN'],0.0,tt11953628,5.8,1433.0
Sexy Central,SHOW,2019,TV-MA,30,comedy,['HK'],1.0,Not Available,6.6,2279.0
The Letter Reader,MOVIE,2019,Not Available,29,drama,['ZA'],0.0,Not Available,6.6,2279.0
Class of '83,MOVIE,2020,Not Available,98,crime,['IN'],0.0,tt10230422,5.8,5571.0
Class of '83,MOVIE,2020,Not Available,98,action,['IN'],0.0,tt10230422,5.8,5571.0
Class of '83,MOVIE,2020,Not Available,98,drama,['IN'],0.0,tt10230422,5.8,5571.0
Class of '83,MOVIE,2020,Not Available,98,thriller,['IN'],0.0,tt10230422,5.8,5571.0
True: Wuzzle Wegg Day,MOVIE,2020,Not Available,23,animation,['CA'],0.0,Not Available,6.6,2279.0
The Car: Road to Revenge,MOVIE,2019,Not Available,89,thriller,['US'],0.0,tt9382596,4.0,1082.0
The Car: Road to Revenge,MOVIE,2019,Not Available,89,action,['US'],0.0,tt9382596,4.0,1082.0
The Car: Road to Revenge,MOVIE,2019,Not Available,89,horror,['US'],0.0,tt9382596,4.0,1082.0
Vir Das: For India,MOVIE,2020,Not Available,75,comedy,['IN'],0.0,tt11611314,7.7,1232.0
Mike Epps: Only One Mike,MOVIE,2019,Not Available,63,comedy,['US'],0.0,tt10376958,4.7,295.0
Revenge of the Pontianak,MOVIE,2019,Not Available,92,romance,"['SG', 'MY']",0.0,tt9113332,5.3,267.0
Revenge of the Pontianak,MOVIE,2019,Not Available,92,horror,"['SG', 'MY']",0.0,tt9113332,5.3,267.0
Night on Earth: Shot in the Dark,MOVIE,2020,Not Available,59,documentation,[],0.0,tt12687448,7.8,290.0
Love and Fury,MOVIE,2020,Not Available,93,documentation,[],0.0,tt11960940,6.8,25.0
Thomas & Friends: Marvelous Machinery,MOVIE,2020,Not Available,59,family,[],0.0,tt12692980,6.1,15.0
Thomas & Friends: Marvelous Machinery,MOVIE,2020,Not Available,59,fantasy,[],0.0,tt12692980,6.1,15.0
Thomas & Friends: Marvelous Machinery,MOVIE,2020,Not Available,59,animation,[],0.0,tt12692980,6.1,15.0
Thomas & Friends: Marvelous Machinery,MOVIE,2020,Not Available,59,action,[],0.0,tt12692980,6.1,15.0
Thomas & Friends: Digs & Discoveries,MOVIE,2019,Not Available,64,animation,[],0.0,Not Available,6.6,2279.0
The Path of the Anaconda,MOVIE,2019,Not Available,73,documentation,['CO'],0.0,tt10577906,6.8,269.0
Quam's Money,MOVIE,2020,Not Available,114,action,['NG'],0.0,Not Available,6.6,2279.0
Super Monsters: The New Class,MOVIE,2020,Not Available,24,animation,['CA'],0.0,Not Available,6.6,2279.0
Aaviri,MOVIE,2019,Not Available,113,thriller,['IN'],0.0,tt10081210,4.0,95.0
Aaviri,MOVIE,2019,Not Available,113,drama,['IN'],0.0,tt10081210,4.0,95.0
Chaman Bahar,MOVIE,2020,Not Available,111,drama,['IN'],0.0,tt8747450,7.0,6732.0
Chaman Bahar,MOVIE,2020,Not Available,111,comedy,['IN'],0.0,tt8747450,7.0,6732.0
Dorasani,MOVIE,2019,Not Available,130,drama,['IN'],0.0,tt10369210,5.8,195.0
Dorasani,MOVIE,2019,Not Available,130,romance,['IN'],0.0,tt10369210,5.8,195.0
StarBeam: Halloween Hero,MOVIE,2020,Not Available,33,animation,['CA'],0.0,Not Available,6.6,2279.0
Kaake Da Viyah,MOVIE,2019,Not Available,133,comedy,['IN'],0.0,tt8852408,5.0,73.0
Kaake Da Viyah,MOVIE,2019,Not Available,133,romance,['IN'],0.0,tt8852408,5.0,73.0
Yeh Ballet,MOVIE,2020,PG-13,117,drama,['IN'],0.0,tt10230436,7.5,1312.0
Super Monsters Furever Friends,MOVIE,2019,Not Available,58,fantasy,[],0.0,tt10087988,5.7,71.0
Super Monsters Furever Friends,MOVIE,2019,Not Available,58,animation,[],0.0,tt10087988,5.7,71.0
Super Monsters Back to School,MOVIE,2019,Not Available,23,animation,"['CA', 'US']",0.0,tt10687588,6.2,29.0
Whipped,MOVIE,2020,Not Available,97,romance,['ID'],0.0,Not Available,6.6,2279.0
Cairo's Class,SHOW,2019,TV-14,33,drama,['KW'],1.0,Not Available,6.6,2279.0
Marjoun and the Flying Headscarf,MOVIE,2019,Not Available,84,drama,"['US', 'NL', 'CA', 'LB']",0.0,tt10399342,6.8,37.0
